brand,model,price,processor_brand,processor_tier,num_cores,ram_memory,storage_capacity,gpu_brand,is_touch_screen,display_size,os
asus,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,41416,intel,core i7,14,16,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop,34576,intel,core i7,14,16,1024,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop,27736,intel,core i7,8,16,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop,28876,intel,core i7,8,16,1024,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop,18996,intel,core i5,6,8,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop,22036,intel,core i5,6,16,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 FX506HF-HN026W Gaming Laptop,22416,intel,core i5,6,8,1024,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 FX506HF-HN076W Gaming Laptop,22036,intel,core i5,6,16,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop,34196,intel,core i7,14,16,1024,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F17 FX706HF-HX018W Laptop,21161,intel,core i5,6,8,512,nvidia,FALSE,17.3,windows
asus,Asus TUF Gaming F17 FX706HF-HX019W Laptop,25352,intel,core i5,6,16,512,nvidia,FALSE,17.3,windows
asus,Asus TUF Gaming F17 FX707ZC4-HX048WS Gaming Laptop,32676,intel,core i5,12,8,512,nvidia,FALSE,17.3,windows
asus,Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,28152,intel,core i5,12,16,512,nvidia,FALSE,17.3,windows
asus,Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop,23788,intel,core i5,12,16,512,intel,TRUE,14,windows
asus,Asus VivoBook 14 2023 X1404VA-NK321WS Laptop,17476,intel,core i3,6,8,512,intel,FALSE,14,windows
asus,Asus VivoBook 14 2023 X1404VA-NK522WS Laptop,22796,intel,core i5,10,8,512,intel,FALSE,14,windows
asus,Asus VivoBook 14 2023 X1404VA-NK541WS Laptop,24316,intel,core i5,10,16,512,intel,FALSE,14,windows
asus,Asus VivoBook 14 2023 X1404ZA-NK321WS Laptop,14283,intel,core i3,6,8,512,intel,FALSE,14,windows
asus,Asus VivoBook 14 X1400EA-EK322WS Notebook,12156,intel,core i3,2,8,512,intel,FALSE,14,windows
asus,Asus VivoBook 14 X1400EA-EK543WS Notebook,17856,intel,core i5,4,16,512,intel,FALSE,14,windows
asus,Asus VivoBook 14 X415EA-EK326WS Notebook,12156,intel,core i3,2,8,512,intel,FALSE,14,windows
asus,Asus VivoBook 14 X415EA-EK344WS Notebook,13676,intel,core i3,2,16,512,intel,FALSE,14,windows
asus,Asus VivoBook 15 X1500EA-EJ311W Laptop,10636,intel,core i3,2,8,256,intel,FALSE,15.6,windows
asus,Asus VivoBook 15 X1500EA-EJ326WS Laptop,12460,intel,core i3,2,8,512,intel,FALSE,15.6,windows
asus,Asus VivoBook 15 X1500EA-EJ3379WS Laptop,11738,intel,core i3,2,8,512,intel,FALSE,15.6,windows
asus,Asus VivoBook 15 X1504ZA-NJ326WS Laptop,15551,intel,core i3,6,8,512,intel,FALSE,15.6,windows
asus,Asus VivoBook 15 X515EA-EJ328WS Laptop,13331,intel,core i3,2,8,512,intel,FALSE,15.6,windows
asus,Asus VivoBook 15 X515EA-EJ342WS Laptop,13676,intel,core i3,2,16,512,intel,FALSE,15.6,windows
asus,Asus VivoBook 15 X515EA-EJ522WS Laptop,16716,intel,core i5,4,8,512,intel,FALSE,15.6,windows
asus,Asus VivoBook 15 X515MA-BR022WS Laptop,10712,intel,celeron,2,8,512,intel,FALSE,15.6,windows
